Rank;Player;Age;Nation;Position;Squad;Competition;Match_played;Minutes_played;Goals_Scored;Assist;Goals_Excluding_Penalties;Red_Cards;Goals_per_90min;Assist_per_90min;Goals&Assist_per_90min;Goals_excluding_penalties_90min
1701;James Mcatee;20;eng ENG;MF;Manchester City;eng Premier League;1;1;0;0;0;0;0.00;0.00;0.00;0.00
1700;James Mcatee;20;eng ENG;MF,FW;Sheffield Utd;eng Premier League;30;1822;3;3;2;0;0.15;0.15;0.30;0.10
2119;Kalvin Phillips;27;eng ENG;MF;Manchester City;eng Premier League;4;93;0;0;0;0;0.00;0.00;0.00;0.00
2118;Kalvin Phillips;27;eng ENG;MF;West Ham;eng Premier League;8;309;0;0;0;1;0.00;0.00;0.00;0.00
999;Sergio Gómez;22;es ESP;FW,MF;Manchester City;eng Premier League;6;53;0;1;0;0;0.00;1.70;1.70;0.00
1994;Stefan Ortega;30;de GER;GK;Manchester City;eng Premier League;9;635;0;0;0;0;0.00;0.00;0.00;0.00
327;Oscar Bobb;20;no NOR;FW,MF;Manchester City;eng Premier League;14;302;1;1;1;0;0.30;0.30;0.60;0.30
1475;Rico Lewis;18;eng ENG;DF,MF;Manchester City;eng Premier League;16;809;2;0;2;0;0.22;0.00;0.22;0.22
2514;John Stones;29;eng ENG;DF,MF;Manchester City;eng Premier League;16;1064;1;0;1;0;0.08;0.00;0.08;0.08
1925;Matheus Nunes;24;pt POR;MF;Manchester City;eng Premier League;17;661;0;2;0;0;0.00;0.27;0.27;0.00
1924;Matheus Nunes;24;pt POR;MF;Wolves;eng Premier League;2;179;0;0;0;1;0.00;0.00;0.00;0.00
656;Kevin De Bruyne;32;be BEL;MF;Manchester City;eng Premier League;18;1221;4;10;4;0;0.29;0.74;1.03;0.29
1031;Jack Grealish;27;eng ENG;FW,MF;Manchester City;eng Premier League;20;1009;3;1;3;0;0.27;0.09;0.36;0.27
1078;Joško Gvardiol;21;hr CRO;DF;Manchester City;eng Premier League;28;2328;4;1;4;0;0.15;0.04;0.19;0.15
51;Nathan Aké;28;nl NED;DF;Manchester City;eng Premier League;29;2042;2;2;2;0;0.09;0.09;0.18;0.09
743;Jeremy Doku;21;be BEL;FW,MF;Manchester City;eng Premier League;29;1595;3;8;3;0;0.17;0.45;0.62;0.17
744;Jeremy Doku;21;be BEL;FW;Rennes;fr Ligue 1;2;111;1;0;1;0;0.81;0.00;0.81;0.81
49;Manuel Akanji;28;ch SUI;DF,MF;Manchester City;eng Premier League;30;2511;2;0;2;1;0.07;0.00;0.07;0.07
703;Rúben Dias;26;pt POR;DF;Manchester City;eng Premier League;30;2559;0;0;0;0;0.00;0.00;0.00;0.00
1379;Mateo Kovačić;29;hr CRO;MF;Manchester City;eng Premier League;30;1551;1;0;1;0;0.06;0.00;0.06;0.06
1081;Erling Haaland;23;no NOR;FW;Manchester City;eng Premier League;31;2552;27;5;20;0;0.95;0.18;1.13;0.71
2739;Kyle Walker;33;eng ENG;DF;Manchester City;eng Premier League;32;2767;0;4;0;0;0.00;0.13;0.13;0.00
795;Ederson;29;br BRA;GK;Manchester City;eng Premier League;33;2785;0;0;0;0;0.00;0.00;0.00;0.00
2429;Bernardo Silva;28;pt POR;MF,FW;Manchester City;eng Premier League;33;2578;6;9;6;0;0.21;0.31;0.52;0.21
887;Phil Foden;23;eng ENG;FW,MF;Manchester City;eng Premier League;35;2857;19;8;19;0;0.60;0.25;0.85;0.60
89;Julián Álvarez;23;ar ARG;MF,FW;Manchester City;eng Premier League;36;2647;11;8;9;0;0.37;0.27;0.65;0.31
1014;Daniel Gore;18;eng ENG;MF;Manchester Utd;eng Premier League;1;1;0;0;0;0;0.00;0.00;0.00;0.00
2761;Ethan Wheatley;17;eng ENG;FW;Manchester Utd;eng Premier League;3;16;0;0;0;0;0.00;0.00;0.00;0.00
898;Omari Forson;19;eng ENG;FW;Manchester Utd;eng Premier League;4;70;0;1;0;0;0.00;1.29;1.29;0.00
1714;Hannibal Mejbri;20;tn TUN;MF,FW;Manchester Utd;eng Premier League;5;133;1;0;1;0;0.68;0.00;0.68;0.68
1715;Hannibal Mejbri;20;tn TUN;MF;Sevilla;es La Liga;6;104;0;0;0;0;0.00;0.00;0.00;0.00
1294;Willy Kambwala;18;fr FRA;DF;Manchester Utd;eng Premier League;8;330;0;0;0;0;0.00;0.00;0.00;0.00
698;Amad Diallo;21;ci CIV;FW,MF;Manchester Utd;eng Premier League;9;390;1;1;1;0;0.23;0.23;0.46;0.23
1645;Lisandro Martínez;25;ar ARG;DF;Manchester Utd;eng Premier League;11;646;0;1;0;0;0.00;0.14;0.14;0.00
2420;Luke Shaw;28;eng ENG;DF;Manchester Utd;eng Premier League;12;959;0;0;0;0;0.00;0.00;0.00;0.00
1632;Anthony Martial;27;fr FRA;FW;Manchester Utd;eng Premier League;13;448;1;0;1;0;0.20;0.00;0.20;0.20
1818;Mason Mount;24;eng ENG;MF,FW;Manchester Utd;eng Premier League;14;516;1;0;1;0;0.17;0.00;0.17;0.17
